章节,孫悟空,美猴王,齊天大聖,那猴,弼馬溫,石猴,鬥戰勝佛,行者,总计
第1章,2,8,1,1,0,6,0,0,18
第2章,4,4,0,2,0,0,0,0,10
第3章,7,9,0,0,0,2,0,0,18
第4章,7,3,16,3,12,1,0,0,42
第5章,0,1,8,3,1,0,0,0,13
第6章,0,2,6,9,2,0,0,3,22
第7章,0,0,5,3,1,0,0,0,9
第8章,1,0,1,0,0,0,0,4,6
第9章,0,0,0,0,0,0,0,0,0
第10章,0,0,0,0,0,0,0,0,0
第11章,0,0,0,0,0,0,0,0,0
第12章,0,0,0,0,0,0,0,3,3
第13章,0,0,0,0,0,0,0,0,0
第14章,3,0,3,11,1,0,0,55,73
第15章,0,1,0,2,0,0,0,61,64
第16章,0,0,1,0,0,0,0,62,63
第17章,0,1,1,1,2,0,0,72,77
第18章,0,0,1,0,1,0,0,63,65
第19章,1,0,0,0,2,2,0,44,49
第20章,0,1,1,0,0,0,0,50,52
第21章,2,1,2,0,0,0,0,78,83
第22章,2,0,0,0,1,0,0,42,45
第23章,0,0,0,0,0,0,0,30,30
第24章,0,0,0,1,0,0,0,46,47
第25章,0,0,0,0,0,0,0,55,55
第26章,3,0,0,0,0,0,0,56,59
第27章,0,1,0,2,0,0,0,47,50
第28章,0,1,1,0,0,0,0,3,5
第29章,0,0,0,0,0,0,0,0,0
第30章,0,0,0,1,0,0,0,21,22
第31章,5,0,0,3,0,0,0,80,88
第32章,0,1,0,0,5,0,0,60,66
第33章,1,0,1,2,0,0,0,80,84
第34章,0,0,0,2,1,0,0,83,86
第35章,0,0,0,0,0,0,0,42,42
第36章,0,0,0,1,0,0,0,38,39
第37章,0,0,1,0,1,0,0,41,43
第38章,1,0,3,2,0,0,0,71,77
第39章,1,0,0,2,0,0,0,76,79
第40章,0,0,0,0,0,0,0,56,56
第41章,1,0,3,1,0,0,0,66,71
第42章,2,0,0,2,0,0,0,94,98
第43章,1,0,2,0,0,0,0,54,57
第44章,1,0,4,0,1,0,0,85,91
第45章,0,0,0,0,0,0,0,50,50
第46章,1,0,0,0,2,0,0,60,63
第47章,0,0,1,0,0,0,0,56,57
第48章,0,0,0,0,0,0,0,26,26
第49章,2,2,1,1,0,0,0,52,58
第50章,6,0,4,1,0,0,0,42,53
第51章,6,0,2,0,0,0,0,53,61
第52章,7,2,1,0,0,0,0,67,77
第53章,7,0,0,0,0,0,0,45,52
第54章,3,0,0,0,0,0,0,23,26
第55章,1,0,0,0,0,0,0,58,59
第56章,1,0,0,0,1,0,0,51,53
第57章,2,0,0,0,1,0,0,35,38
第58章,5,0,1,1,1,1,0,32,41
第59章,4,0,0,0,0,0,0,82,86
第60章,5,0,1,1,0,0,0,14,21
第61章,1,0,1,1,0,0,0,44,47
第62章,4,0,0,0,0,0,0,38,42
第63章,1,0,9,0,0,0,0,51,61
第64章,0,0,0,0,0,0,0,16,16
第65章,1,0,1,0,0,0,0,42,44
第66章,4,0,2,1,0,0,0,52,59
第67章,0,0,0,1,0,1,0,68,70
第68章,1,0,0,0,0,0,0,49,50
第69章,0,0,0,0,0,0,0,82,82
第70章,3,0,2,0,0,0,0,71,76
第71章,3,0,1,0,0,0,0,59,63
第72章,0,0,1,0,0,0,0,36,37
第73章,1,1,0,0,0,0,0,64,66
第74章,0,1,0,0,0,0,0,65,66
第75章,0,1,1,0,3,0,0,60,65
第76章,1,0,2,1,1,0,0,60,65
第77章,1,0,0,1,1,0,0,66,69
第78章,0,0,0,0,0,0,0,34,34
第79章,1,0,0,1,0,0,0,44,46
第80章,1,0,1,0,1,0,0,37,40
第81章,1,0,0,0,0,0,0,64,65
第82章,2,1,0,0,0,0,0,58,61
第83章,1,0,1,0,2,0,0,64,68
第84章,0,0,1,0,0,0,0,58,59
第85章,0,0,0,0,2,0,0,45,47
第86章,0,0,0,0,0,0,0,60,60
第87章,2,0,1,0,0,0,0,51,54
第88章,0,0,0,0,0,0,0,25,25
第89章,0,0,0,0,0,0,0,37,37
第90章,0,0,1,0,0,0,0,49,50
第91章,1,0,3,0,0,0,0,32,36
第92章,1,0,2,1,0,0,0,51,55
第93章,0,0,0,0,0,0,0,40,40
第94章,0,0,1,0,0,0,0,26,27
第95章,0,0,0,0,3,0,0,44,47
第96章,0,0,0,0,0,0,0,14,14
第97章,0,0,0,0,0,0,0,54,54
第98章,0,0,0,0,0,0,0,29,29
第99章,0,0,0,0,0,0,0,18,18
第100章,1,0,0,0,0,0,2,11,14
